rank,player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
434,Nick Nastrini,,24,CHW,AL,-0.8,0,7,0,7.07,9,8,0,0,0,0,35.2,32,33,28,7,36,0,26,1,0,3,174,59,7.37,1.907,8.1,1.8,9.1,6.6,0.72
435,Sixto Sánchez,,25,MIA,NL,-0.5,0,3,0,6.06,14,7,2,0,0,0,35.2,43,29,24,3,14,0,17,3,1,1,162,72,4.74,1.598,10.9,0.8,3.5,4.3,1.21
436,Steven Okert*,,32,MIN,AL,-0.3,3,2,0.6,5.09,44,1,8,0,0,1,35.1,37,22,20,6,16,3,33,3,0,2,160,83,5.12,1.5,9.4,1.5,4.1,8.4,2.06
437,Dedniel Núñez,,28,NYM,NL,0.8,2,0,1,2.31,25,0,3,0,0,1,35,24,11,9,3,8,1,48,0,2,1,135,168,2.22,0.914,6.2,0.8,2.1,12.3,6
438,Jake Woodford,,27,2TM,2LG,-1.3,0,6,0,7.97,9,7,1,0,0,0,35,48,37,31,6,9,0,26,3,0,2,167,54,4.94,1.629,12.3,1.5,2.3,6.7,2.89
438,Jake Woodford,,27,CHW,AL,-0.4,0,2,0,10.8,2,2,0,0,0,0,8.1,15,10,10,2,5,0,7,1,0,0,46,40,6.77,2.4,16.2,2.2,5.4,7.6,1.4
438,Jake Woodford,,27,PIT,NL,-0.9,0,4,0,7.09,7,5,1,0,0,0,26.2,33,27,21,4,4,0,19,2,0,2,121,60,4.37,1.388,11.1,1.4,1.4,6.4,4.75
439,Kody Funderburk*,,27,MIN,AL,-0.6,1,0,1,6.49,27,0,6,0,0,1,34.2,41,26,25,4,15,0,32,5,1,4,161,65,4.55,1.615,10.6,1,3.9,8.3,2.13
440,Cristian Javier,,27,HOU,AL,0.4,3,1,0.75,3.89,7,7,0,0,0,0,34.2,30,16,15,4,19,0,27,0,0,1,150,103,4.75,1.413,7.8,1,4.9,7,1.42
441,Ben Joyce,,23,LAA,AL,1.6,2,0,1,2.08,31,1,12,0,0,4,34.2,26,8,8,1,14,0,33,4,0,4,142,203,3.19,1.154,6.8,0.3,3.6,8.6,2.36
442,Steven Wilson,,29,CHW,AL,-0.6,1,6,0.143,5.71,40,0,12,0,0,0,34.2,29,29,22,8,26,6,34,3,1,1,163,73,6.71,1.587,7.5,2.1,6.8,8.8,1.31
443,Tanner Gordon,,26,COL,NL,-1.1,0,6,0,8.65,8,8,0,0,0,0,34.1,53,34,33,10,6,0,26,2,0,0,160,54,6.14,1.718,13.9,2.6,1.6,6.8,4.33
444,A.J. Minter*,,30,ATL,NL,1.1,5,4,0.556,2.62,39,0,10,0,0,1,34.1,24,10,10,6,11,1,35,1,0,0,134,161,4.45,1.019,6.3,1.6,2.9,9.2,3.18
445,Chris Roycroft,,27,STL,NL,0,1,2,0.333,4.19,27,0,13,0,0,0,34.1,31,19,16,2,17,0,33,4,0,1,155,100,3.84,1.398,8.1,0.5,4.5,8.7,1.94
446,Richard Lovelady*,,28,2TM,2LG,0.2,3,6,0.333,4.46,35,0,8,0,0,2,34.1,34,18,17,3,11,1,26,2,0,1,147,91,3.92,1.311,8.9,0.8,2.9,6.8,2.36
446,Richard Lovelady*,,28,CHC,NL,-0.3,0,1,0,7.94,7,0,0,0,0,0,5.2,9,5,5,1,2,0,6,0,0,0,28,53,4.4,1.941,14.3,1.6,3.2,9.5,3
446,Richard Lovelady*,,28,TBR,AL,0.4,3,5,0.375,3.77,28,0,8,0,0,2,28.2,25,13,12,2,9,1,20,2,0,1,119,107,3.83,1.186,7.8,0.6,2.8,6.3,2.22
447,J.T. Ginn,,25,OAK,AL,0.5,1,1,0.5,4.24,8,6,1,0,0,0,34,36,16,16,4,9,1,29,2,0,0,142,94,3.96,1.324,9.5,1.1,2.4,7.7,3.22
448,Michel Otañez,,26,OAK,AL,0.4,1,0,1,3.44,36,0,6,0,0,1,34,27,15,13,2,20,0,55,3,0,6,151,116,2.72,1.382,7.1,0.5,5.3,14.6,2.75
449,Brock Burke*,,27,2TM,AL,-0.2,2,1,0.667,5.82,34,1,9,0,0,0,34,37,22,22,4,16,2,41,2,0,0,154,71,3.87,1.559,9.8,1.1,4.2,10.9,2.56
449,Brock Burke*,,27,TEX,AL,-0.5,0,0,,9.22,13,0,4,0,0,0,13.2,21,14,14,3,9,0,16,2,0,0,72,43,6.09,2.195,13.8,2,5.9,10.5,1.78
449,Brock Burke*,,27,LAA,AL,0.3,2,1,0.667,3.54,21,1,5,0,0,0,20.1,16,8,8,1,7,2,25,0,0,0,82,120,2.38,1.131,7.1,0.4,3.1,11.1,3.57
450,Marco Gonzales*,,32,PIT,NL,0.5,1,1,0.5,4.54,7,7,0,0,0,0,33.2,43,17,17,5,11,0,23,0,0,0,151,94,4.71,1.604,11.5,1.3,2.9,6.1,2.09
451,Adam Mazur,,23,SDP,NL,-0.7,1,3,0.25,7.49,8,8,0,0,0,0,33.2,40,28,28,6,21,0,22,2,0,0,158,55,6.23,1.812,10.7,1.6,5.6,5.9,1.05
452,Jeffrey Springs*,,31,TBR,AL,0.9,2,2,0.5,3.27,7,7,0,0,0,0,33,34,12,12,5,11,0,37,1,0,0,142,123,3.98,1.364,9.3,1.4,3,10.1,3.36
453,Ryan Burr,,30,TOR,AL,0,0,2,0,4.13,34,4,5,0,0,0,32.2,29,16,15,4,12,0,47,1,0,0,140,100,3.07,1.255,8,1.1,3.3,12.9,3.92
454,Scott McGough,,34,ARI,NL,-1.1,1,3,0.25,7.44,26,2,7,0,0,0,32.2,34,30,27,6,21,0,25,1,1,1,150,57,6.04,1.684,9.4,1.7,5.8,6.9,1.19
455,Jake Diekman*,,37,NYM,NL,-0.8,2,3,0.4,5.63,43,0,10,0,0,4,32,23,24,20,7,24,0,40,4,0,2,145,69,6.13,1.469,6.5,2,6.8,11.3,1.67
456,Jose A. Ferrer*,,24,WSN,NL,0.5,1,0,1,3.38,31,0,6,0,0,1,32,27,12,12,1,6,0,25,2,1,1,129,120,2.76,1.031,7.6,0.3,1.7,7,4.17
457,Joe Kelly,,36,LAD,NL,-0.4,1,1,0.5,4.78,35,0,2,0,0,0,32,31,19,17,4,16,1,35,5,2,3,143,84,4.57,1.469,8.7,1.1,4.5,9.8,2.19
458,Julian Aguiar,,23,CIN,NL,-0.1,2,1,0.667,6.25,7,7,0,0,0,0,31.2,30,22,22,8,12,1,19,5,0,1,140,72,6.86,1.326,8.5,2.3,3.4,5.4,1.58
459,Angel Chivilli,,21,COL,NL,0.2,2,3,0.4,4.55,30,0,10,0,0,1,31.2,31,17,16,7,10,0,28,1,0,0,133,103,5.31,1.295,8.8,2,2.8,8,2.8
460,Kyle Tyler,,27,MIA,NL,0.3,0,2,0,5.4,8,7,0,0,0,0,31.2,37,19,19,4,18,0,25,1,0,1,142,81,5.03,1.737,10.5,1.1,5.1,7.1,1.39
461,Josh Fleming*,,28,PIT,NL,0,1,1,0.5,4.02,25,3,9,0,0,1,31.1,34,18,14,3,14,0,17,1,0,1,138,106,4.76,1.532,9.8,0.9,4,4.9,1.21
462,Michael Kelly,,31,OAK,AL,0.8,3,2,0.6,2.59,28,0,13,0,0,0,31.1,27,11,9,2,10,1,22,3,0,1,128,154,3.84,1.181,7.8,0.6,2.9,6.3,2.2
463,Jordan Leasure,,25,CHW,AL,-0.4,0,2,0,6.32,33,0,4,0,0,2,31.1,32,22,22,6,18,0,26,1,0,3,142,66,5.81,1.596,9.2,1.7,5.2,7.5,1.44
464,Rhett Lowder,,22,CIN,NL,1.9,2,2,0.5,1.17,6,6,0,0,0,0,30.2,25,4,4,0,14,0,22,0,0,0,128,381,3.1,1.272,7.3,0,4.1,6.5,1.57
465,Robbie Ray*,,32,SFG,NL,0,3,2,0.6,4.7,7,7,0,0,0,0,30.2,20,16,16,6,15,0,43,6,0,4,129,84,4.96,1.141,5.9,1.8,4.4,12.6,2.87
466,Bradley Blalock,,23,2TM,NL,-0.2,1,3,0.25,5.87,7,6,0,0,0,0,30.2,35,22,20,4,20,0,20,1,0,0,147,80,5.61,1.793,10.3,1.2,5.9,5.9,1
466,Bradley Blalock,,23,MIL,NL,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,,6.17,1,0,0,9,0,0
466,Bradley Blalock,,23,COL,NL,-0.2,1,3,0.25,6.07,6,6,0,0,0,0,29.2,35,22,20,4,19,0,20,1,0,0,143,77,5.59,1.82,10.6,1.2,5.8,6.1,1.05
467,Matt Bowman,,33,4TM,2LG,0.2,1,0,1,4.4,25,1,6,0,0,0,30.2,26,15,15,5,13,1,24,2,0,0,132,95,5.19,1.272,7.6,1.5,3.8,7,1.85
467,Matt Bowman,,33,3TM,AL,0.4,1,0,1,3.38,21,1,5,0,0,0,24,18,9,9,4,11,1,20,2,0,0,101,122,5.29,1.208,6.8,1.5,4.1,7.5,1.82
467,Matt Bowman,,33,MIN,AL,0.2,0,0,,2.35,5,0,1,0,0,0,7.2,2,2,2,1,4,0,6,2,0,0,31,187,5.64,0.783,2.3,1.2,4.7,7,1.5
467,Matt Bowman,,33,ARI,NL,-0.1,0,0,,8.1,4,0,1,0,0,0,6.2,8,6,6,1,2,0,4,0,0,0,31,54,4.82,1.5,10.8,1.4,2.7,5.4,2
467,Matt Bowman,,33,SEA,AL,-0.1,0,0,,13.5,1,0,0,0,0,0,0.2,1,1,1,1,1,0,0,0,0,0,4,44,27.17,3,13.5,13.5,13.5,0,0
467,Matt Bowman,,33,BAL,AL,0.2,1,0,1,3.45,15,1,4,0,0,0,15.2,15,6,6,2,6,1,14,0,0,0,66,114,4.19,1.34,8.6,1.1,3.4,8,2.33
468,Kris Bubic*,,26,KCR,AL,0.8,1,1,0.5,2.67,27,0,7,0,0,1,30.1,26,12,9,2,5,3,39,0,0,1,121,155,1.95,1.022,7.7,0.6,1.5,11.6,7.8
469,Davis Daniel,,27,LAA,AL,-0.4,1,4,0.2,6.23,6,6,0,0,0,0,30.1,39,22,21,5,6,0,28,1,1,0,134,68,4.16,1.484,11.6,1.5,1.8,8.3,4.67
470,Keegan Thompson,,29,CHC,NL,0.5,2,1,0.667,2.67,24,0,9,0,0,2,30.1,19,12,9,3,18,0,36,0,0,0,127,151,3.86,1.22,5.6,0.9,5.3,10.7,2
471,Yonny Chirinos,,30,MIA,NL,-0.1,0,2,0,6.3,6,6,0,0,0,0,30,43,21,21,7,13,0,25,3,0,1,144,69,6.13,1.867,12.9,2.1,3.9,7.5,1.92
472,Carlos Hernández,,27,KCR,AL,0.2,0,1,0,3.3,27,0,10,0,0,0,30,24,14,11,1,16,0,27,1,0,1,129,126,3.5,1.333,7.2,0.3,4.8,8.1,1.69
473,Clayton Kershaw*,,36,LAD,NL,-0.3,2,2,0.5,4.5,7,7,0,0,0,0,30,36,19,15,2,9,1,24,2,1,2,133,89,3.53,1.5,10.8,0.6,2.7,7.2,2.67
474,Tony Santillan,,27,CIN,NL,0.7,3,3,0.5,3,29,1,2,0,0,0,30,21,11,10,4,9,0,46,0,0,1,122,149,2.73,1,6.3,1.2,2.7,13.8,5.11
475,Danny Coulombe*,,34,BAL,AL,1,1,0,1,2.12,33,0,3,0,0,1,29.2,15,7,7,3,5,0,32,0,0,2,107,182,2.83,0.674,4.6,0.9,1.5,9.7,6.4
476,Brandon Bielak,,28,2TM,AL,0.1,1,0,1,5.16,16,0,9,0,0,0,29.2,39,17,17,5,13,0,14,2,0,1,140,79,5.93,1.753,11.8,1.5,3.9,4.2,1.08
476,Brandon Bielak,,28,HOU,AL,-0.1,0,0,,5.71,10,0,5,0,0,0,17.1,22,11,11,3,7,0,9,2,0,1,83,71,5.94,1.673,11.4,1.6,3.6,4.7,1.29
476,Brandon Bielak,,28,OAK,AL,0.1,1,0,1,4.38,6,0,4,0,0,0,12.1,17,6,6,2,6,0,5,0,0,0,57,93,5.92,1.865,12.4,1.5,4.4,3.6,0.83
477,Brenan Hanifee,,26,DET,AL,0.9,1,1,0.5,1.84,21,3,1,0,0,0,29.1,27,7,6,2,6,0,23,0,0,0,120,223,3.1,1.125,8.3,0.6,1.8,7.1,3.83
478,George Soriano,,25,MIA,NL,-0.6,1,1,0.5,6.75,22,0,11,0,0,1,29.1,27,23,22,7,13,0,29,4,0,3,131,65,6.03,1.364,8.3,2.1,4,8.9,2.23
479,Eduardo Salazar,,26,2TM,NL,0.5,0,1,0,2.76,26,0,3,0,0,0,29.1,34,11,9,2,14,0,27,1,0,1,133,149,3.75,1.636,10.4,0.6,4.3,8.3,1.93
479,Eduardo Salazar,,26,LAD,NL,0,0,0,,0,1,0,1,0,0,0,2,3,1,0,0,2,0,3,0,0,0,10,,3.17,2.5,13.5,0,9,13.5,1.5
479,Eduardo Salazar,,26,WSN,NL,0.5,0,1,0,2.96,25,0,2,0,0,0,27.1,31,10,9,2,12,0,24,1,0,1,123,137,3.79,1.573,10.2,0.7,4,7.9,2
480,Spencer Howard,,27,2TM,2LG,-0.6,1,2,0.333,6.21,9,3,2,0,0,0,29,44,24,20,5,14,0,27,0,0,1,144,65,4.99,2,13.7,1.6,4.3,8.4,1.93
480,Spencer Howard,,27,SFG,NL,-0.2,1,1,0.5,5.63,7,2,1,0,0,0,24,33,16,15,2,11,0,21,0,0,0,114,70,3.87,1.833,12.4,0.8,4.1,7.9,1.91
480,Spencer Howard,,27,CLE,AL,-0.4,0,1,0,9,2,1,1,0,0,0,5,11,8,5,3,3,0,6,0,0,1,30,48,10.37,2.8,19.8,5.4,5.4,10.8,2
481,Drew Rasmussen,,28,TBR,AL,0.6,0,2,0,2.83,16,4,5,0,0,1,28.2,25,10,9,0,6,0,35,0,0,1,116,143,1.35,1.081,7.8,0,1.9,11,5.83
482,Aaron Ashby*,,26,MIL,NL,0.2,1,2,0.333,2.86,14,2,3,0,0,0,28.1,20,13,9,2,10,0,33,0,0,1,119,144,2.81,1.059,6.4,0.6,3.2,10.5,3.3
483,Yilber Díaz,,23,ARI,NL,0.3,1,1,0.5,3.81,7,4,1,0,0,0,28.1,27,13,12,3,12,0,19,0,0,1,119,111,4.47,1.376,8.6,1,3.8,6,1.58
484,Logan Allen*,,27,ARI,NL,-0.1,0,1,0,5.46,12,0,4,0,0,1,28,32,17,17,3,10,0,21,2,0,0,128,77,4.34,1.5,10.3,1,3.2,6.8,2.1
485,Ryan Brasier,,36,LAD,NL,0.2,1,0,1,3.54,29,4,3,0,0,0,28,22,12,11,3,5,0,25,0,0,1,110,114,3.31,0.964,7.1,1,1.6,8,5
486,Robert Gasser*,,25,MIL,NL,0.6,2,0,1,2.57,5,5,0,0,0,0,28,28,9,8,2,1,0,16,3,0,0,114,160,3.38,1.036,9,0.6,0.3,5.1,16
487,Eduard Bazardo,,28,SEA,AL,0,2,0,1,4.88,23,0,15,0,0,0,27.2,20,15,15,2,9,0,33,0,0,3,108,77,2.7,1.048,6.5,0.7,2.9,10.7,3.67
488,Matt Manning,,26,DET,AL,0.1,0,1,0,4.88,5,5,0,0,0,0,27.2,31,15,15,3,12,0,23,0,0,1,123,84,4.21,1.554,10.1,1,3.9,7.5,1.92
489,Bryan Sammons*,,29,DET,AL,0.4,1,1,0.5,3.62,6,0,0,0,0,0,27.1,16,11,11,6,9,0,18,1,0,0,104,114,5.8,0.915,5.3,2,3,5.9,2
490,Kolby Allard*,,26,PHI,NL,0.2,2,0,1,5,7,4,0,0,0,0,27,34,15,15,5,8,0,23,0,0,0,117,86,4.76,1.556,11.3,1.7,2.7,7.7,2.88
491,Grant Anderson,,27,TEX,AL,-1.1,0,1,0,8.1,23,0,10,0,0,1,26.2,33,24,24,11,10,3,29,1,0,0,120,48,7.59,1.613,11.1,3.7,3.4,9.8,2.9
492,Aaron Brooks,,34,OAK,AL,-0.2,0,2,0,5.06,5,4,1,0,0,0,26.2,33,19,15,4,8,0,12,1,0,0,119,79,5.23,1.538,11.1,1.4,2.7,4.1,1.5
493,Chris Devenski,,33,TBR,AL,-0.8,2,1,0.667,6.75,19,0,4,0,0,0,26.2,28,25,20,9,14,0,24,0,0,1,122,60,7.33,1.575,9.5,3,4.7,8.1,1.71
494,Ethan Roberts,,26,CHC,NL,0.2,1,1,0.5,3.71,21,0,6,0,0,0,26.2,31,11,11,3,10,0,26,1,0,1,118,109,3.92,1.538,10.5,1,3.4,8.8,2.6
495,Gerson Garabito,,28,TEX,AL,-0.1,0,2,0,4.78,18,2,10,0,0,0,26.1,23,15,14,4,12,0,22,4,0,1,115,82,5.29,1.329,7.9,1.4,4.1,7.5,1.83
496,Jay Jackson,,36,MIN,AL,-0.6,1,2,0.333,7.52,20,0,10,0,0,0,26.1,28,24,22,7,9,0,29,0,0,0,114,56,5.44,1.405,9.6,2.4,3.1,9.9,3.22
497,Bryan King*,,27,HOU,AL,0.6,1,0,1,2.39,28,0,7,0,0,0,26.1,20,7,7,1,10,0,32,3,0,0,109,169,2.71,1.139,6.8,0.3,3.4,10.9,3.2
498,Gus Varland,,27,2TM,2LG,0.3,1,0,1,3.42,26,0,7,0,0,0,26.1,30,12,10,2,8,1,27,1,0,2,115,123,3.13,1.443,10.3,0.7,2.7,9.2,3.38
498,Gus Varland,,27,LAD,NL,0,0,0,,3,7,0,2,0,0,0,6,7,3,2,1,4,0,3,1,0,0,30,141,6.83,1.833,10.5,1.5,6,4.5,0.75
498,Gus Varland,,27,CHW,AL,0.3,1,0,1,3.54,19,0,5,0,0,0,20.1,23,9,8,1,4,1,24,0,0,2,85,119,2.03,1.328,10.2,0.4,1.8,10.6,6
499,Luke Little*,,23,CHC,NL,0.3,3,1,0.75,3.46,30,1,7,0,0,0,26,15,11,10,1,18,1,28,4,0,3,109,116,4.05,1.269,5.2,0.3,6.2,9.7,1.56
500,Yunior Marté,,29,PHI,NL,-0.7,0,0,,6.92,23,0,5,0,0,0,26,34,22,20,5,15,0,23,0,0,3,127,62,5.63,1.885,11.8,1.7,5.2,8,1.53
501,Dany Jiménez,,30,OAK,AL,-0.3,1,3,0.25,4.91,25,0,9,0,0,1,25.2,21,18,14,6,19,0,25,1,0,0,117,81,6.59,1.558,7.4,2.1,6.7,8.8,1.32
502,Hans Crouse,,25,LAA,AL,0.5,4,3,0.571,2.84,25,0,5,0,0,0,25.1,14,10,8,2,17,1,34,2,0,1,107,149,3.76,1.224,5,0.7,6,12.1,2
503,J.P. France,,29,HOU,AL,-0.5,0,3,0,7.46,5,5,0,0,0,0,25.1,31,21,21,5,12,0,22,1,1,3,121,54,5.53,1.697,11,1.8,4.3,7.8,1.83
504,Kaleb Ort,,32,HOU,AL,0.5,1,1,0.5,2.55,22,0,6,0,0,0,24.2,16,7,7,7,4,0,26,0,0,1,93,158,5.23,0.811,5.8,2.6,1.5,9.5,6.5
505,Adam Cimber,,33,LAA,AL,-0.7,3,0,1,7.03,28,0,2,0,0,0,24.1,20,19,19,1,14,2,19,6,0,1,107,60,4.6,1.397,7.4,0.4,5.2,7,1.36
506,Alek Manoah,,26,TOR,AL,-0.4,1,2,0.333,3.7,5,5,0,0,0,0,24.1,17,16,10,5,8,0,26,4,0,1,103,113,5.18,1.027,6.3,1.8,3,9.6,3.25
507,Cody Poteet,,29,NYY,AL,0.9,3,0,1,2.22,5,4,0,0,0,0,24.1,18,7,6,2,8,0,16,1,0,1,96,184,4.03,1.068,6.7,0.7,3,5.9,2
508,Josh Staumont,,30,MIN,AL,0.2,1,0,1,3.7,25,0,12,0,0,0,24.1,17,12,10,0,14,0,18,1,0,1,102,115,3.54,1.274,6.3,0,5.2,6.7,1.29
509,Fraser Ellard*,,26,CHW,AL,0.2,2,3,0.4,3.75,25,0,2,0,0,1,24,18,12,10,3,12,3,26,1,0,5,101,112,4.25,1.25,6.8,1.1,4.5,9.8,2.17
510,Kenny Rosenberg*,,28,LAA,AL,-0.3,0,1,0,6,7,1,3,0,0,0,24,28,17,16,5,8,1,17,0,0,2,104,71,5.46,1.5,10.5,1.9,3,6.4,2.13
511,Sam Hentges*,,27,CLE,AL,0.4,0,0,,3.04,25,0,4,0,0,0,23.2,18,8,8,3,5,0,27,0,0,0,91,134,3.17,0.972,6.8,1.1,1.9,10.3,5.4
512,Gabe Speier*,,29,SEA,AL,-0.5,0,2,0,5.7,29,0,3,0,0,0,23.2,19,15,15,2,14,1,33,2,0,1,104,66,3.5,1.394,7.2,0.8,5.3,12.5,2.36
513,Matt Festa,,31,2TM,2LG,-0.8,6,1,0.857,5.7,19,0,4,0,0,0,23.2,21,18,15,2,8,1,24,1,0,0,100,70,3.38,1.225,8,0.8,3,9.1,3
513,Matt Festa,,31,NYM,NL,-0.7,0,1,0,36,1,0,1,0,0,0,1,4,5,4,0,1,1,1,0,0,0,8,15,4.17,5,36,0,9,9,1
513,Matt Festa,,31,TEX,AL,-0.1,6,0,1,4.37,18,0,3,0,0,0,22.2,17,13,11,2,7,0,23,1,0,0,92,90,3.34,1.059,6.8,0.8,2.8,9.1,3.29
514,Mitch White,,29,3TM,2LG,-0.6,1,1,0.5,7.23,13,0,9,0,0,0,23.2,26,21,19,4,13,2,13,1,0,1,110,59,6.04,1.648,9.9,1.5,4.9,4.9,1
514,Mitch White,,29,2TM,NL,-0.5,0,1,0,8.56,9,0,7,0,0,0,13.2,16,15,13,3,9,2,7,1,0,1,68,49,7.19,1.829,10.5,2,5.9,4.6,0.78
514,Mitch White,,29,TOR,AL,-0.1,1,0,1,5.4,4,0,2,0,0,0,10,10,6,6,1,4,0,6,0,0,0,42,79,4.47,1.4,9,0.9,3.6,5.4,1.5
514,Mitch White,,29,SFG,NL,-0.2,0,0,,11.81,3,0,2,0,0,0,5.1,8,7,7,1,5,0,1,0,0,1,29,35,8.04,2.438,13.5,1.7,8.4,1.7,0.2
514,Mitch White,,29,MIL,NL,-0.3,0,1,0,6.48,6,0,5,0,0,0,8.1,8,8,6,2,4,2,6,1,0,0,39,65,6.65,1.44,8.6,2.2,4.3,6.5,1.5
515,Bryan Baker,,29,BAL,AL,-0.1,1,1,0.5,5.01,19,0,4,0,0,0,23.1,20,14,13,3,7,0,23,0,0,0,93,77,3.77,1.157,7.7,1.2,2.7,8.9,3.29
516,Victor González*,,28,NYY,AL,0.1,2,1,0.667,3.86,27,0,8,0,0,2,23.1,13,12,10,3,13,0,11,3,0,0,97,106,5.95,1.114,5,1.2,5,4.2,0.85
517,Ron Marinaccio,,28,NYY,AL,0.2,1,0,1,3.86,16,0,4,0,0,0,23.1,18,11,10,4,10,0,25,3,1,0,99,106,4.92,1.2,6.9,1.5,3.9,9.6,2.5
518,Ty Madden,,24,DET,AL,-0.1,1,1,0.5,4.3,6,1,0,0,0,0,23,25,12,11,2,8,0,17,1,0,0,101,96,3.99,1.435,9.8,0.8,3.1,6.7,2.13
519,Michael McGreevy,,23,STL,NL,0.9,3,0,1,1.96,4,3,1,0,0,0,23,16,5,5,1,2,0,18,1,0,0,86,215,2.56,0.783,6.3,0.4,0.8,7,9
520,Touki Toussaint,,28,CHW,AL,-0.3,1,2,0.333,7.43,11,0,2,0,0,0,23,35,19,19,3,18,0,26,1,0,1,117,57,5.08,2.304,13.7,1.2,7,10.2,1.44
521,Will Warren,,25,NYY,AL,-1.2,0,3,0,10.32,6,5,1,0,0,0,22.2,33,27,26,5,10,0,29,1,2,0,110,40,4.93,1.897,13.1,2,4,11.5,2.9
522,Brady Basso*,,26,OAK,AL,0.3,1,1,0.5,4.03,7,4,2,0,0,0,22.1,23,10,10,3,5,0,19,0,0,1,93,99,3.88,1.254,9.3,1.2,2,7.7,3.8
523,Ray Kerr*,,29,ATL,NL,-0.1,1,2,0.333,5.64,10,2,3,0,0,0,22.1,29,14,14,4,7,0,27,3,0,2,103,75,4.42,1.612,11.7,1.6,2.8,10.9,3.86
524,Tommy Nance,,33,TOR,AL,-0.2,0,3,0,4.09,20,0,6,0,0,0,22,18,12,10,2,9,2,19,1,0,2,93,102,3.98,1.227,7.4,0.8,3.7,7.8,2.11
525,Mason Englert,,24,DET,AL,-0.3,1,0,1,5.4,12,1,5,0,0,0,21.2,23,15,13,4,5,1,16,1,0,2,93,76,4.92,1.292,9.6,1.7,2.1,6.6,3.2
526,Sean Reid-Foley,,28,NYM,NL,0.2,1,2,0.333,1.66,23,0,9,0,0,0,21.2,13,10,4,0,14,0,25,0,0,1,90,236,2.8,1.246,5.4,0,5.8,10.4,1.79
527,Devin Williams,,29,MIL,NL,1.4,1,0,1,1.25,22,0,19,0,0,14,21.2,10,3,3,1,11,1,38,2,0,1,88,331,2.06,0.969,4.2,0.4,4.6,15.8,3.45
528,Enoli Paredes,,28,2TM,NL,0.7,1,0,1,1.66,18,0,9,0,0,1,21.2,13,4,4,0,10,0,16,2,0,2,87,252,3.35,1.062,5.4,0,4.2,6.6,1.6
528,Enoli Paredes,,28,MIL,NL,0.6,1,0,1,1.74,17,0,8,0,0,1,20.2,13,4,4,0,10,0,14,2,0,2,84,237,3.55,1.113,5.7,0,4.4,6.1,1.4
528,Enoli Paredes,,28,CHC,NL,0,0,0,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,,-0.83,0,0,0,0,18,
529,Yerry Rodríguez,,26,2TM,AL,-0.7,1,0,1,8.72,16,0,6,0,0,0,21.2,26,22,21,7,13,1,17,2,0,2,105,46,7.87,1.8,10.8,2.9,5.4,7.1,1.31
529,Yerry Rodríguez,,26,TEX,AL,-0.4,1,0,1,6.88,12,0,4,0,0,0,17,16,13,13,5,11,1,12,1,0,2,78,57,7.7,1.588,8.5,2.6,5.8,6.4,1.09
529,Yerry Rodríguez,,26,TOR,AL,-0.4,0,0,,15.43,4,0,2,0,0,0,4.2,10,9,8,2,2,0,5,1,0,0,27,29,8.52,2.571,19.3,3.9,3.9,9.6,2.5
530,Sean Guenther*,,28,DET,AL,1,3,0,1,0.86,17,0,4,0,0,0,21,9,2,2,0,2,0,12,2,0,0,73,482,2.59,0.524,3.9,0,0.9,5.1,6
531,Colten Brewer,,31,CHC,NL,-0.6,0,0,,5.66,16,0,8,0,0,1,20.2,24,16,13,1,9,0,22,1,0,1,95,71,3.12,1.597,10.5,0.4,3.9,9.6,2.44
532,Richard Fitts,,24,BOS,AL,0.6,0,1,0,1.74,4,4,0,0,0,0,20.2,19,6,4,0,7,0,9,0,0,1,85,244,3.31,1.258,8.3,0,3,3.9,1.29
533,Giovanny Gallegos,,32,STL,NL,-0.3,2,1,0.667,6.53,21,0,6,0,0,1,20.2,24,15,15,6,10,0,21,0,0,1,94,64,6.36,1.645,10.5,2.6,4.4,9.1,2.1
534,Domingo Germán,,31,PIT,NL,-0.5,0,1,0,7.84,7,2,3,0,0,0,20.2,25,19,18,4,13,1,18,2,1,2,100,55,6.12,1.839,10.9,1.7,5.7,7.8,1.38
535,John Means*,,31,BAL,AL,0.7,2,0,1,2.61,4,4,0,0,0,0,20.2,16,6,6,2,2,0,16,1,0,0,80,149,3.31,0.871,7,0.9,0.9,7,8
536,Emmanuel Ramírez,,29,MIA,NL,-0.3,0,1,0,6.97,15,0,2,0,0,0,20.2,21,17,16,3,8,0,21,3,0,2,92,63,4.62,1.403,9.1,1.3,3.5,9.1,2.63
537,Erasmo Ramírez,,34,TBR,AL,-0.2,3,0,1,4.35,13,0,10,0,0,1,20.2,12,12,10,5,10,1,15,1,0,2,85,93,6.46,1.065,5.2,2.2,4.4,6.5,1.5
538,Ryder Ryan,,29,PIT,NL,-0.2,1,0,1,5.66,15,0,5,0,0,0,20.2,21,14,13,2,9,0,17,3,0,0,93,76,4.52,1.452,9.1,0.9,3.9,7.4,1.89
